bootstrap,dimension,converged,message
66,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
66,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
66,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
66,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
67,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
67,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
67,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
67,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
67,C5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
68,C1,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
68,C2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
68,C3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
68,C4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
