bootstrap,dimension,model_id,theta
8,C3,qwen3_8_max,0.001287032283110507
8,C3,glm_5_2_max,0.006965964369577209
8,C4,kimi_k3_max,-0.009902545133583397
8,C4,gpt_5_6_sol_max,0.01852343898436348
8,C4,gpt_5_5_xhigh,-0.02339239790350921
8,C4,claude_fable_5_max,-0.009806890539323381
8,C4,claude_opus_4_8_max,0.05258226885566572
8,C4,gemini_3_1_pro_high,-0.0075870752142738335
8,C4,deepseek_v4_pro_max,0.10790679633756842
8,C4,deepseek_v4_flash_max,-0.11923501962855058
8,C4,qwen3_8_max,0.007499287972052783
8,C4,glm_5_2_max,-0.016587863730409987
8,C5,kimi_k3_max,-0.015626520822214347
8,C5,gpt_5_6_sol_max,0.16516895860305325
8,C5,gpt_5_5_xhigh,-0.015039997446496534
8,C5,claude_fable_5_max,-0.06077611333275383
8,C5,claude_opus_4_8_max,0.006877393648316552
8,C5,gemini_3_1_pro_high,-0.06635786336473234
8,C5,deepseek_v4_pro_max,
8,C5,deepseek_v4_flash_max,
8,C5,qwen3_8_max,-0.014245857285172754
8,C5,glm_5_2_max,
9,C1,kimi_k3_max,-0.023469105952643305
9,C1,gpt_5_6_sol_max,0.006895680975813227
9,C1,gpt_5_5_xhigh,-0.0035891460197034117
9,C1,claude_fable_5_max,-0.028966371892326825
9,C1,claude_opus_4_8_max,0.0015165163261053511
9,C1,gemini_3_1_pro_high,0.033768467637591816
9,C1,deepseek_v4_pro_max,-0.0038220187496665193
9,C1,deepseek_v4_flash_max,0.010168378216983695
9,C1,qwen3_8_max,0.010724692922240979
9,C1,glm_5_2_max,-0.003227093464395006
9,C2,kimi_k3_max,-0.001505790660790295
9,C2,gpt_5_6_sol_max,-0.030551603126149886
9,C2,gpt_5_5_xhigh,-0.029014026198605724
9,C2,claude_fable_5_max,0.15464886461061253
9,C2,claude_opus_4_8_max,0.0056917671811546645
9,C2,gemini_3_1_pro_high,-0.0006940297882936153
9,C2,deepseek_v4_pro_max,-0.046705595794306665
9,C2,deepseek_v4_flash_max,0.02737595839720375
9,C2,qwen3_8_max,-0.042594864950909084
9,C2,glm_5_2_max,-0.036650679669915656
9,C3,kimi_k3_max,0.0007583671058998904
9,C3,gpt_5_6_sol_max,-0.00999430159676003
9,C3,gpt_5_5_xhigh,0.008608013113457429
9,C3,claude_fable_5_max,0.008365256962518372
9,C3,claude_opus_4_8_max,0.012529950516782788
9,C3,gemini_3_1_pro_high,0.07822428087482292
9,C3,deepseek_v4_pro_max,-0.06524266969055485
9,C3,deepseek_v4_flash_max,-0.00136173630759259
