bootstrap,model_id,overall_score,rank
40,deepseek_v4_pro_max,30.598987811068113,6
40,gpt_5_6_sol_max,30.557203548546443,7
40,gemini_3_1_pro_high,26.05855648921525,8
40,glm_5_2_max,24.49689756263676,9
40,deepseek_v4_flash_max,23.586772055410844,10
41,gemini_3_1_pro_high,73.01993006351677,1
41,claude_opus_4_8_max,68.31041754883206,2
41,gpt_5_6_sol_max,65.62477581087302,3
41,qwen3_8_max,63.139384203206575,4
41,claude_fable_5_max,58.26864605877858,5
41,kimi_k3_max,49.116818276327386,6
41,deepseek_v4_pro_max,48.87392552606512,7
41,deepseek_v4_flash_max,40.24039596730465,8
41,gpt_5_5_xhigh,20.616691056378123,9
41,glm_5_2_max,15.64127288785297,10
42,gpt_5_6_sol_max,70.26974239822543,1
42,gemini_3_1_pro_high,47.648709005036466,2
42,gpt_5_5_xhigh,45.82987536342682,3
42,glm_5_2_max,42.687488678632015,4
42,claude_fable_5_max,41.43863635183339,5
42,kimi_k3_max,41.32122657418567,6
42,claude_opus_4_8_max,36.65309860871003,7
42,qwen3_8_max,35.011008030946435,8
42,deepseek_v4_pro_max,20.154934689015022,9
42,deepseek_v4_flash_max,18.89899724393446,10
43,claude_fable_5_max,88.00826940680375,1
43,gpt_5_6_sol_max,68.44855031246635,2
43,gemini_3_1_pro_high,66.75741247242298,3
43,gpt_5_5_xhigh,60.60060619746032,4
43,kimi_k3_max,50.136728675623715,5
43,qwen3_8_max,42.27813210557014,6
43,deepseek_v4_flash_max,32.66980590114256,7
43,claude_opus_4_8_max,31.88458045624431,8
43,glm_5_2_max,18.186647660357487,9
43,deepseek_v4_pro_max,17.554189211386056,10
44,claude_opus_4_8_max,76.20044666313899,1
44,qwen3_8_max,70.83902401301029,2
44,claude_fable_5_max,63.77038592411999,3
44,gemini_3_1_pro_high,63.747954306339025,4
44,gpt_5_6_sol_max,58.87017084818294,5
44,gpt_5_5_xhigh,35.927828782930355,6
44,deepseek_v4_pro_max,24.412095850999677,7
44,glm_5_2_max,22.37274341111341,8
44,kimi_k3_max,19.97264883329336,9
44,deepseek_v4_flash_max,9.586369431606741,10
45,claude_fable_5_max,75.54423498931457,1
45,gpt_5_6_sol_max,55.4886298053878,2
45,gpt_5_5_xhigh,55.235900687614894,3
45,gemini_3_1_pro_high,53.93702549356408,4
45,kimi_k3_max,40.91274382249139,5
45,qwen3_8_max,38.687004614218374,6
45,glm_5_2_max,37.56027453986195,7
45,deepseek_v4_pro_max,36.00594867564378,8
45,deepseek_v4_flash_max,30.548485885287587,9
45,claude_opus_4_8_max,29.038897930382383,10
46,kimi_k3_max,75.90177701056615,1
46,claude_fable_5_max,63.789709180163285,2
46,gpt_5_6_sol_max,56.10553526547744,3
46,gemini_3_1_pro_high,52.653757472186584,4
46,gpt_5_5_xhigh,50.57193013382722,5
46,qwen3_8_max,42.93567236324818,6
46,deepseek_v4_pro_max,41.44868266536949,7
46,claude_opus_4_8_max,26.659784754499416,8
46,glm_5_2_max,16.206602777656272,9
46,deepseek_v4_flash_max,7.5558654766602364,10
47,claude_fable_5_max,68.61411291761016,1
47,kimi_k3_max,51.48436697386994,2
47,gemini_3_1_pro_high,47.30595578919006,3
47,qwen3_8_max,45.92702330642899,4
47,gpt_5_6_sol_max,41.72778838862209,5
47,gpt_5_5_xhigh,40.52682546598213,6
47,deepseek_v4_flash_max,32.779374309033585,7
47,claude_opus_4_8_max,24.4593327387122,8
47,deepseek_v4_pro_max,16.971991095726537,9
47,glm_5_2_max,12.104642833829345,10
48,gemini_3_1_pro_high,73.62758786832504,1
48,claude_fable_5_max,64.82771657061326,2
48,gpt_5_5_xhigh,62.733193620951724,3
48,qwen3_8_max,47.551451515439794,4
48,deepseek_v4_pro_max,41.99740460573054,5
48,kimi_k3_max,37.87088066400085,6
